"STOCK_ID","BUSINESS_DATE","OPENING_PRICE","CLOSING_PRICE"
1,2023-08-12 00:00:00.000,100,105
1,2023-08-13 00:00:00.000,105,110
1,2023-08-14 00:00:00.000,110,115
1,2023-08-15 00:00:00.000,115,112.5
1,2023-08-16 00:00:00.000,112.5,108.75
1,2023-08-17 00:00:00.000,108.75,105.25
1,2023-08-18 00:00:00.000,105.25,102
1,2023-08-19 00:00:00.000,102,99.5
1,2023-08-20 00:00:00.000,99.5,102.25
1,2023-08-21 00:00:00.000,102.25,104.75
2,2023-08-12 00:00:00.000,150,155
2,2023-08-13 00:00:00.000,155,160
2,2023-08-14 00:00:00.000,160,165
2,2023-08-15 00:00:00.000,165,162.5
2,2023-08-16 00:00:00.000,162.5,158.75
2,2023-08-17 00:00:00.000,158.75,155.25
2,2023-08-18 00:00:00.000,155.25,152
2,2023-08-19 00:00:00.000,152,149.5
2,2023-08-20 00:00:00.000,149.5,152.25
2,2023-08-21 00:00:00.000,152.25,154.75
3,2023-08-12 00:00:00.000,200,205
3,2023-08-13 00:00:00.000,205,218.15
3,2023-08-14 00:00:00.000,218.15,226.5
3,2023-08-15 00:00:00.000,226.5,217.88
3,2023-08-16 00:00:00.000,217.88,202.46
3,2023-08-17 00:00:00.000,202.46,191.33
3,2023-08-18 00:00:00.000,191.33,184.82
3,2023-08-19 00:00:00.000,184.82,189.25
3,2023-08-20 00:00:00.000,189.25,195.89
3,2023-08-21 00:00:00.000,195.89,204.15
4,2023-08-12 00:00:00.000,250,256.25
4,2023-08-13 00:00:00.000,256.25,274.44
4,2023-08-14 00:00:00.000,274.44,289.19
4,2023-08-15 00:00:00.000,289.19,278.86
4,2023-08-16 00:00:00.000,278.86,257.92
4,2023-08-17 00:00:00.000,257.92,239.71
4,2023-08-18 00:00:00.000,239.71,233.05
4,2023-08-19 00:00:00.000,233.05,240.37
4,2023-08-20 00:00:00.000,240.37,251.72
4,2023-08-21 00:00:00.000,251.72,264.3
5,2023-08-12 00:00:00.000,300,308.7
5,2023-08-13 00:00:00.000,308.7,331.51
5,2023-08-14 00:00:00.000,331.51,349.85
5,2023-08-15 00:00:00.000,349.85,336.74
5,2023-08-16 00:00:00.000,336.74,310.79
5,2023-08-17 00:00:00.000,310.79,287.91
5,2023-08-18 00:00:00.000,287.91,280.65
5,2023-08-19 00:00:00.000,280.65,289.28
5,2023-08-20 00:00:00.000,289.28,301.41
5,2023-08-21 00:00:00.000,301.41,314.61
6,2023-08-12 00:00:00.000,150,155.25
6,2023-08-13 00:00:00.000,155.25,162.78
6,2023-08-14 00:00:00.000,162.78,170.53
6,2023-08-15 00:00:00.000,170.53,165.94
6,2023-08-16 00:00:00.000,165.94,158.72
6,2023-08-17 00:00:00.000,158.72,152.03
6,2023-08-18 00:00:00.000,152.03,146.5
6,2023-08-19 00:00:00.000,146.5,150.25
6,2023-08-20 00:00:00.000,150.25,158.9
6,2023-08-21 00:00:00.000,158.9,165.15
7,2023-08-12 00:00:00.000,80,82.6
7,2023-08-13 00:00:00.000,82.6,85.92
7,2023-08-14 00:00:00.000,85.92,88.1
7,2023-08-15 00:00:00.000,88.1,86.25
7,2023-08-16 00:00:00.000,86.25,81.4
7,2023-08-17 00:00:00.000,81.4,78.5
7,2023-08-18 00:00:00.000,78.5,76.85
7,2023-08-19 00:00:00.000,76.85,79.3
7,2023-08-20 00:00:00.000,79.3,82.15
7,2023-08-21 00:00:00.000,82.15,84.7
8,2023-08-12 00:00:00.000,50,53.2
8,2023-08-13 00:00:00.000,53.2,56.15
8,2023-08-14 00:00:00.000,56.15,58.8
8,2023-08-15 00:00:00.000,58.8,57.1
8,2023-08-16 00:00:00.000,57.1,52.5
8,2023-08-17 00:00:00.000,52.5,49.7
8,2023-08-18 00:00:00.000,49.7,47.8
8,2023-08-19 00:00:00.000,47.8,50.2
8,2023-08-20 00:00:00.000,50.2,53.8
8,2023-08-21 00:00:00.000,53.8,56.25
9,2023-08-12 00:00:00.000,120,125.4
9,2023-08-13 00:00:00.000,125.4,130.8
9,2023-08-14 00:00:00.000,130.8,135.6
9,2023-08-15 00:00:00.000,135.6,133.2
9,2023-08-16 00:00:00.000,133.2,125.9
9,2023-08-17 00:00:00.000,125.9,120.3
9,2023-08-18 00:00:00.000,120.3,118.7
9,2023-08-19 00:00:00.000,118.7,122.5
9,2023-08-20 00:00:00.000,122.5,127.4
9,2023-08-21 00:00:00.000,127.4,132.1
10,2023-08-12 00:00:00.000,50,53.2
10,2023-08-13 00:00:00.000,53.2,55.6
10,2023-08-14 00:00:00.000,55.6,58.4
10,2023-08-15 00:00:00.000,58.4,57.1
10,2023-08-16 00:00:00.000,57.1,54.2
10,2023-08-17 00:00:00.000,54.2,52.1
10,2023-08-18 00:00:00.000,52.1,51.8
10,2023-08-19 00:00:00.000,51.8,54.3
10,2023-08-20 00:00:00.000,54.3,56.9
10,2023-08-21 00:00:00.000,56.9,59.1
11,2023-08-12 00:00:00.000,120,123.2
11,2023-08-13 00:00:00.000,123.2,125.6
11,2023-08-14 00:00:00.000,125.6,128.4
11,2023-08-15 00:00:00.000,128.4,127.1
11,2023-08-16 00:00:00.000,127.1,124.2
11,2023-08-17 00:00:00.000,124.2,122.1
11,2023-08-18 00:00:00.000,122.1,121.8
11,2023-08-19 00:00:00.000,121.8,124.3
11,2023-08-20 00:00:00.000,124.3,126.9
11,2023-08-21 00:00:00.000,126.9,129.1
12,2023-08-12 00:00:00.000,80,83.2
12,2023-08-13 00:00:00.000,83.2,85.6
12,2023-08-14 00:00:00.000,85.6,88.4
12,2023-08-15 00:00:00.000,88.4,87.1
12,2023-08-16 00:00:00.000,87.1,84.2
12,2023-08-17 00:00:00.000,84.2,82.1
12,2023-08-18 00:00:00.000,82.1,81.8
12,2023-08-19 00:00:00.000,81.8,84.3
12,2023-08-20 00:00:00.000,84.3,86.9
12,2023-08-21 00:00:00.000,86.9,89.1
13,2023-08-12 00:00:00.000,110,113.2
13,2023-08-13 00:00:00.000,113.2,115.6
13,2023-08-14 00:00:00.000,115.6,118.4
13,2023-08-15 00:00:00.000,118.4,117.1
13,2023-08-16 00:00:00.000,117.1,114.2
13,2023-08-17 00:00:00.000,114.2,112.1
13,2023-08-18 00:00:00.000,112.1,111.8
13,2023-08-19 00:00:00.000,111.8,114.3
13,2023-08-20 00:00:00.000,114.3,116.9
13,2023-08-21 00:00:00.000,116.9,119.1
14,2023-08-12 00:00:00.000,78.4,79.75
14,2023-08-13 00:00:00.000,79.75,81.2
14,2023-08-14 00:00:00.000,81.2,80.45
14,2023-08-15 00:00:00.000,80.45,78.9
14,2023-08-16 00:00:00.000,78.9,76.6
14,2023-08-17 00:00:00.000,76.6,75.85
14,2023-08-18 00:00:00.000,75.85,74.6
14,2023-08-19 00:00:00.000,74.6,75.8
14,2023-08-20 00:00:00.000,75.8,77.4
14,2023-08-21 00:00:00.000,77.4,78.2
15,2023-08-12 00:00:00.000,78.25,79.9
15,2023-08-13 00:00:00.000,79.9,81.7
15,2023-08-14 00:00:00.000,81.7,83.4
15,2023-08-15 00:00:00.000,83.4,82.1
15,2023-08-16 00:00:00.000,82.1,81.4
15,2023-08-17 00:00:00.000,81.4,79.8
15,2023-08-18 00:00:00.000,79.8,79.2
15,2023-08-19 00:00:00.000,79.2,80.5
15,2023-08-20 00:00:00.000,80.5,82
15,2023-08-21 00:00:00.000,82,83.8
16,2023-08-12 00:00:00.000,42.8,44.15
16,2023-08-13 00:00:00.000,44.15,46.2
16,2023-08-14 00:00:00.000,46.2,47.85
16,2023-08-15 00:00:00.000,47.85,46.1
16,2023-08-16 00:00:00.000,46.1,45.05
16,2023-08-17 00:00:00.000,45.05,43.75
16,2023-08-18 00:00:00.000,43.75,43.9
16,2023-08-19 00:00:00.000,43.9,44.8
16,2023-08-20 00:00:00.000,44.8,45.7
16,2023-08-21 00:00:00.000,45.7,47.15
17,2023-08-12 00:00:00.000,45.6,46.75
17,2023-08-13 00:00:00.000,46.75,47.9
17,2023-08-14 00:00:00.000,47.9,48.55
17,2023-08-15 00:00:00.000,48.55,47.8
17,2023-08-16 00:00:00.000,47.8,46.9
17,2023-08-17 00:00:00.000,46.9,45.85
17,2023-08-18 00:00:00.000,45.85,45
17,2023-08-19 00:00:00.000,45,45.75
17,2023-08-20 00:00:00.000,45.75,46.4
17,2023-08-21 00:00:00.000,46.4,47.2
18,2023-08-12 00:00:00.000,28.5,29.75
18,2023-08-13 00:00:00.000,29.75,30.9
18,2023-08-14 00:00:00.000,30.9,31.55
18,2023-08-15 00:00:00.000,31.55,30.8
18,2023-08-16 00:00:00.000,30.8,29.9
18,2023-08-17 00:00:00.000,29.9,28.85
18,2023-08-18 00:00:00.000,28.85,28
18,2023-08-19 00:00:00.000,28,28.75
18,2023-08-20 00:00:00.000,28.75,29.4
18,2023-08-21 00:00:00.000,29.4,30.2
19,2023-08-12 00:00:00.000,65.2,66.75
19,2023-08-13 00:00:00.000,66.75,68.9
19,2023-08-14 00:00:00.000,68.9,69.55
19,2023-08-15 00:00:00.000,69.55,68.8
19,2023-08-16 00:00:00.000,68.8,67.9
19,2023-08-17 00:00:00.000,67.9,66.85
19,2023-08-18 00:00:00.000,66.85,66
19,2023-08-19 00:00:00.000,66,66.75
19,2023-08-20 00:00:00.000,66.75,67.4
19,2023-08-21 00:00:00.000,67.4,68.2
20,2023-08-12 00:00:00.000,45.2,46.75
20,2023-08-13 00:00:00.000,46.75,48.9
20,2023-08-14 00:00:00.000,48.9,49.55
20,2023-08-15 00:00:00.000,49.55,48.8
20,2023-08-16 00:00:00.000,48.8,47.9
20,2023-08-17 00:00:00.000,47.9,46.85
20,2023-08-18 00:00:00.000,46.85,46
20,2023-08-19 00:00:00.000,46,46.75
20,2023-08-20 00:00:00.000,46.75,47.4
20,2023-08-21 00:00:00.000,47.4,48.2
21,2023-08-12 00:00:00.000,80.25,82.1
21,2023-08-13 00:00:00.000,82.1,84.5
21,2023-08-14 00:00:00.000,84.5,83.75
21,2023-08-15 00:00:00.000,83.75,81.9
21,2023-08-16 00:00:00.000,81.9,80.4
21,2023-08-17 00:00:00.000,80.4,78.6
21,2023-08-18 00:00:00.000,78.6,79.2
21,2023-08-19 00:00:00.000,79.2,80.8
21,2023-08-20 00:00:00.000,80.8,81.7
21,2023-08-21 00:00:00.000,81.7,82.4
22,2023-08-12 00:00:00.000,50.25,52.1
22,2023-08-13 00:00:00.000,52.1,54.5
22,2023-08-14 00:00:00.000,54.5,53.75
22,2023-08-15 00:00:00.000,53.75,51.9
22,2023-08-16 00:00:00.000,51.9,50.4
22,2023-08-17 00:00:00.000,50.4,48.6
22,2023-08-18 00:00:00.000,48.6,49.2
22,2023-08-19 00:00:00.000,49.2,50.8
22,2023-08-20 00:00:00.000,50.8,51.7
22,2023-08-21 00:00:00.000,51.7,52.4
23,2023-08-12 00:00:00.000,40.25,42.1
23,2023-08-13 00:00:00.000,42.1,44.5
23,2023-08-14 00:00:00.000,44.5,43.75
23,2023-08-15 00:00:00.000,43.75,41.9
23,2023-08-16 00:00:00.000,41.9,40.4
23,2023-08-17 00:00:00.000,40.4,38.6
23,2023-08-18 00:00:00.000,38.6,39.2
23,2023-08-19 00:00:00.000,39.2,40.8
23,2023-08-20 00:00:00.000,40.8,41.7
23,2023-08-21 00:00:00.000,41.7,42.4
24,2023-08-12 00:00:00.000,65.25,68.1
24,2023-08-13 00:00:00.000,68.1,72.5
24,2023-08-14 00:00:00.000,72.5,70.75
24,2023-08-15 00:00:00.000,70.75,66.9
24,2023-08-16 00:00:00.000,66.9,62.4
24,2023-08-17 00:00:00.000,62.4,59.6
24,2023-08-18 00:00:00.000,59.6,60.2
24,2023-08-19 00:00:00.000,60.2,62.8
24,2023-08-20 00:00:00.000,62.8,63.7
24,2023-08-21 00:00:00.000,63.7,64.4
25,2023-08-12 00:00:00.000,80.25,84.1
25,2023-08-13 00:00:00.000,84.1,89.5
25,2023-08-14 00:00:00.000,89.5,87.75
25,2023-08-15 00:00:00.000,87.75,82.9
25,2023-08-16 00:00:00.000,82.9,78.4
25,2023-08-17 00:00:00.000,78.4,75.6
25,2023-08-18 00:00:00.000,75.6,76.2
25,2023-08-19 00:00:00.000,76.2,78.8
25,2023-08-20 00:00:00.000,78.8,79.7
25,2023-08-21 00:00:00.000,79.7,80.4
